course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
871358,Financial Modeling and Valuation: Complete Beginner to Pro,https://www.udemy.com/financial-modeling-and-valuation-complete-beginner-to-pro/,True,50,249,46,28,All Levels,5.0,2016-06-20T22:09:31Z,Business Finance
931588,Learn to trade Chart Patterns,https://www.udemy.com/learn-to-trade-chart-patterns/,True,20,75,8,23,Intermediate Level,2.0,2016-08-17T17:04:54Z,Business Finance
880202,Anatomy and Figure Drawing for Beginners,https://www.udemy.com/anatomy-and-figure-drawing-for-games-and-comics/,True,150,2252,240,111,Beginner Level,21.0,2016-06-20T15:31:48Z,Graphic Design
1197206,Illustrator CC MasterClass,https://www.udemy.com/illustrator-cc-masterclass/,True,95,462,50,86,All Levels,12.0,2017-05-02T16:41:21Z,Graphic Design
1117796,Typographic Logo Design in Illustrator - Beginners & Beyond,https://www.udemy.com/typographical-logo-design/,True,150,1720,40,27,All Levels,1.5,2017-02-23T21:40:39Z,Graphic Design
1219520,Adobe Illustrator T-Shirt Design for Merch by Amazon,https://www.udemy.com/merchbyamazondesign/,True,20,390,44,15,All Levels,1.0,2017-06-13T20:41:14Z,Graphic Design
595876,Logo Design in Adobe Illustrator - for Beginners & Beyond,https://www.udemy.com/logodesign/,True,200,4297,337,110,All Levels,7.5,2015-10-01T21:40:39Z,Graphic Design
1216132,Learn Adobe Illustrator: Semi-Automatic Mandalas Drawing,https://www.udemy.com/learn-adobe-illustrator-semi-automatic-mandalas-drawing/,True,200,1076,15,15,All Levels,1.0,2017-05-22T22:53:46Z,Graphic Design
1145736,Create Professional Looking Infographics With No Experience,https://www.udemy.com/create-professional-looking-infographics/,True,180,9367,104,21,Beginner Level,2.0,2017-03-21T19:00:13Z,Graphic Design
28556,Discover How to Draw and paint Comics,https://www.udemy.com/learn-to-draw-and-paint/,True,65,8901,424,85,All Levels,62.0,2012-11-21T22:03:54Z,Graphic Design
317278,Typographic Logos: Typography and Lettering for Logo Design,https://www.udemy.com/typographic-logos-typography-and-lettering-for-logo-design/,True,25,4235,427,20,Intermediate Level,1.5,2014-10-16T19:30:01Z,Graphic Design
573064,Photoshop in Ease: Create World Amazing  Graphic Designs,https://www.udemy.com/photoshop-knights-become-a-professional-in-no-time/,True,20,14440,182,26,All Levels,3.0,2015-08-13T21:17:34Z,Graphic Design
1120554,Canva Graphics Design Essential Training For Everyone,https://www.udemy.com/canva-graphics-design-essential-training/,True,200,12340,124,46,All Levels,2.5,2017-03-07T03:54:27Z,Graphic Design
1151326,Triangulated Bird: Origami Styled Bird in Adobe Illustrator,https://www.udemy.com/triangulated-bird-origami-styled-bird-in-adobe-illustrator/,True,195,2027,11,9,Intermediate Level,0.5,2017-04-18T19:40:57Z,Graphic Design
590794,Illustrator Quick Tip：10分でKawaiiカメレオンを描こう,https://www.udemy.com/illustrator-quick-tip10kawaii/,False,0,381,24,7,All Levels,0.6,2015-08-31T20:52:45Z,Graphic Design
1181578,Deinen Roman setzen mit PagePlus in 10 einfachen Schritten,https://www.udemy.com/deinen-roman-setzen-mit-pageplus-in-10-einfachen-schritten/,False,0,69,6,25,All Levels,3.5,2017-04-24T16:44:12Z,Graphic Design
1261122,画像加工の初心者でも「１日」で初歩を覚えられる無料講座,https://www.udemy.com/1-tuqndy/,False,0,21,0,18,Beginner Level,1.0,2017-06-22T15:01:32Z,Graphic Design
749542,Graphic Design Bootcamp,https://www.udemy.com/graphic-design-for-beginners/,True,200,15276,1740,65,Beginner Level,8.0,2016-05-13T00:03:03Z,Graphic Design
874012,The Ultimate Drawing Course - Beginner to Advanced,https://www.udemy.com/the-ultimate-drawing-course-beginner-to-advanced/,True,150,26742,2379,62,Beginner Level,11.0,2017-01-23T00:20:05Z,Graphic Design
1046722,Ultimate Photoshop Training: From Beginner to Pro,https://www.udemy.com/ultimate-photoshop-training-from-beginner-to-pro/,True,200,5326,447,150,Beginner Level,11.5,2017-01-12T16:56:22Z,Graphic Design
820194,Photoshop for Entrepreneurs - Design 11 Practical Projects,https://www.udemy.com/photoshop-for-entrepreneurs/,True,200,36288,737,63,All Levels,5.0,2016-06-09T01:57:03Z,Graphic Design
62721,Anatomy for Figure Drawing: Mastering the Human Figure,https://www.udemy.com/anatomy-for-figure-drawing-and-comics/,True,95,15500,754,65,All Levels,68.5,2013-10-16T11:37:30Z,Graphic Design
371074,Sketch 3 from A to Z: Become an App Designer,https://www.udemy.com/learnsketch3/,True,75,7282,1629,42,All Levels,3.5,2015-01-03T08:21:48Z,Graphic Design
20461,How to Design a Logo - a Beginners Course,https://www.udemy.com/how-to-design-a-logo-a-beginners-course/,True,30,10875,650,41,All Levels,2.5,2012-07-25T13:41:42Z,Graphic Design
416548,Logo Design Masterclass: Learn Logo Design + Illustrator,https://www.udemy.com/become-a-professional-logo-designer/,True,200,8196,479,85,All Levels,6.5,2015-08-18T18:56:04Z,Graphic Design
1047436,How to Draw and Sketch for Beginners,https://www.udemy.com/drawing-and-sketching-for-beginners/,True,150,1360,175,79,Beginner Level,9.0,2017-01-25T22:07:38Z,Graphic Design
396204,Graphic Design Masterclass: Learn Graphic Design in Projects,https://www.udemy.com/graphic-design/,True,95,6858,382,41,Beginner Level,3.5,2015-11-09T21:17:04Z,Graphic Design
897238,Canva Graphics Design for Entrepreneurs - Design 11 Projects,https://www.udemy.com/canva-graphic-design-course/,True,200,18303,202,54,All Levels,3.5,2016-07-23T00:41:07Z,Graphic Design
